r,F1,F2,n1,n2,DeltaF
# Parameters:
# xi_f1 = 10.0
# xi_f2 = 15.0
# k = 2.0
# Ek = 0.001
# E0 = 10.0
# DeltaE1 = 18.00
# DeltaE2 = 37.00

0.000000,-1.887114,-1.887114,0.000000,0.000000,0.000000
0.047548,-1.887057,-1.887057,0.000000,0.000000,0.000000
0.095095,-1.886886,-1.886886,0.000000,0.000000,0.000000
0.142643,-1.886602,-1.886602,0.000000,0.000000,0.000000
0.190190,-1.886204,-1.886204,0.000000,0.000000,0.000000
0.237738,-1.885692,-1.885692,0.000000,0.000000,0.000000
0.285285,-1.885067,-1.885067,0.000000,0.000000,0.000000
0.332833,-1.884327,-1.884327,0.000000,0.000000,0.000000
0.380380,-1.883474,-1.883474,0.000000,0.000000,0.000000
0.427928,-1.882507,-1.882507,0.000000,0.000000,0.000000
0.475475,-1.881426,-1.881426,0.000000,0.000000,0.000000
0.523023,-1.880231,-1.880231,0.000000,0.000000,0.000000
0.570571,-1.878922,-1.878922,0.000000,0.000000,0.000000
0.618118,-1.877499,-1.877499,0.000000,0.000000,0.000000
0.665666,-1.875962,-1.875962,0.000000,0.000000,0.000000
0.713213,-1.874310,-1.874310,0.000000,0.000000,0.000000
0.760761,-1.872545,-1.872545,0.000000,0.000000,0.000000
0.808308,-1.870665,-1.870665,0.000000,0.000000,0.000000
0.855856,-1.868670,-1.868670,0.000000,0.000000,0.000000
0.903403,-1.866561,-1.866561,0.000000,0.000000,0.000000
0.950951,-1.864338,-1.864338,0.000000,0.000000,0.000000
0.998498,-1.862000,-1.862000,0.000000,0.000000,0.000000
1.046046,-1.859546,-1.859546,0.000000,0.000000,0.000000
1.093594,-1.856978,-1.856978,0.000000,0.000000,0.000000
1.141141,-1.854295,-1.854295,0.000000,0.000000,0.000000
1.188689,-1.851497,-1.851497,0.000000,0.000000,0.000000
1.236236,-1.848584,-1.848584,0.000000,0.000000,0.000000
1.283784,-1.845555,-1.845555,0.000000,0.000000,0.000000
1.331331,-1.842410,-1.842410,0.000000,0.000000,0.000000
1.378879,-1.839150,-1.839150,0.000000,0.000000,0.000000
1.426426,-1.835774,-1.835774,0.000000,0.000000,0.000000
1.473974,-1.832282,-1.832282,0.000000,0.000000,0.000000
1.521522,-1.828674,-1.828674,0.000000,0.000000,0.000000
1.569069,-1.824949,-1.824949,0.000000,0.000000,0.000000
1.616617,-1.821109,-1.821109,0.000000,0.000000,0.000000
1.664164,-1.817151,-1.817151,0.000000,0.000000,0.000000
1.711712,-1.813077,-1.813077,0.000000,0.000000,0.000000
1.759259,-1.808886,-1.808886,0.000000,0.000000,0.000000
1.806807,-1.804577,-1.804577,0.000000,0.000000,0.000000
1.854354,-1.800151,-1.800151,0.000000,0.000000,0.000000
1.901902,-1.795608,-1.795608,0.000000,0.000000,0.000000
1.949449,-1.790947,-1.790947,0.000000,0.000000,0.000000
1.996997,-1.786167,-1.786167,0.000000,0.000000,0.000000
2.044545,-1.781270,-1.781270,0.000000,0.000000,0.000000
2.092092,-1.776254,-1.776254,0.000000,0.000000,0.000000
2.139640,-1.771120,-1.771120,0.000000,0.000000,0.000000
2.187187,-1.765867,-1.765867,0.000000,0.000000,0.000000
2.234735,-1.760494,-1.760494,0.000000,0.000000,0.000000
2.282282,-1.755003,-1.755003,0.000000,0.000000,0.000000
2.329830,-1.749391,-1.749391,0.000000,0.000000,0.000000
2.377377,-1.743660,-1.743660,0.000000,0.000000,0.000000
2.424925,-1.737809,-1.737809,0.000000,0.000000,0.000000
2.472472,-1.731837,-1.731837,0.000000,0.000000,0.000000
2.520020,-1.725745,-1.725745,0.000000,0.000000,0.000000
2.567568,-1.719532,-1.719532,0.000000,0.000000,0.000000
2.615115,-1.713198,-1.713198,0.000000,0.000000,0.000000
2.662663,-1.706742,-1.706742,0.000000,0.000000,0.000000
2.710210,-1.700164,-1.700164,0.000000,0.000000,0.000000
2.757758,-1.693464,-1.693464,0.000000,0.000000,0.000000
2.805305,-1.686642,-1.686642,0.000000,0.000000,0.000000
2.852853,-1.679698,-1.679698,0.000000,0.000000,0.000000
2.900400,-1.672630,-1.672630,0.000000,0.000000,0.000000
2.947948,-1.665439,-1.665439,0.000000,0.000000,0.000000
2.995495,-1.658124,-1.658124,0.000000,0.000000,0.000000
3.043043,-1.650685,-1.650685,0.000000,0.000000,0.000000
3.090591,-1.643122,-1.643122,0.000000,0.000000,0.000000
3.138138,-1.635434,-1.635434,0.000000,0.000000,0.000000
3.185686,-1.627621,-1.627621,0.000000,0.000000,0.000000
3.233233,-1.619683,-1.619683,0.000000,0.000000,0.000000
3.280781,-1.611619,-1.611619,0.000000,0.000000,0.000000
3.328328,-1.603429,-1.603429,0.000000,0.000000,0.000000
3.375876,-1.595112,-1.595112,0.000000,0.000000,0.000000
3.423423,-1.586669,-1.586669,0.000000,0.000000,0.000000
3.470971,-1.578098,-1.578098,0.000000,0.000000,0.000000
3.518519,-1.569399,-1.569399,0.000000,0.000000,0.000000
3.566066,-1.560573,-1.560573,0.000000,0.000000,0.000000
3.613614,-1.551618,-1.551618,0.000000,0.000000,0.000000
3.661161,-1.542534,-1.542534,0.000000,0.000000,0.000000
3.708709,-1.533320,-1.533320,0.000000,0.000000,0.000000
3.756256,-1.523977,-1.523977,0.000000,0.000000,0.000000
3.803804,-1.514503,-1.514503,0.000000,0.000000,0.000000
3.851351,-1.504899,-1.504899,0.000000,0.000000,0.000000
3.898899,-1.495164,-1.495164,0.000000,0.000000,0.000000
3.946446,-1.485297,-1.485297,0.000000,0.000000,0.000000
3.993994,-1.475298,-1.475298,0.000000,0.000000,0.000000
4.041542,-1.465167,-1.465167,0.000000,0.000000,0.000000
4.089089,-1.454902,-1.454902,0.000000,0.000000,0.000000
4.136637,-1.444504,-1.444504,0.000000,0.000000,0.000000
4.184184,-1.433973,-1.433973,0.000000,0.000000,0.000000
4.231732,-1.423306,-1.423306,0.000000,0.000000,0.000000
4.279279,-1.412505,-1.412505,0.000000,0.000000,0.000000
4.326827,-1.401568,-1.401568,0.000000,0.000000,0.000000
4.374374,-1.390495,-1.390495,0.000000,0.000000,0.000000
4.421922,-1.379285,-1.379285,0.000000,0.000000,0.000000
4.469469,-1.367939,-1.367939,0.000000,0.000000,0.000000
4.517017,-1.356454,-1.356454,0.000000,0.000000,0.000000
4.564565,-1.344832,-1.344832,0.000000,0.000000,0.000000
4.612112,-1.333070,-1.333070,0.000000,0.000000,0.000000
4.659660,-1.321169,-1.321169,0.000000,0.000000,0.000000
4.707207,-1.309129,-1.309129,0.000000,0.000000,0.000000
4.754755,-1.296948,-1.296948,0.000000,0.000000,0.000000
4.802302,-1.284625,-1.284625,0.000000,0.000000,0.000000
4.849850,-1.272161,-1.272161,0.000000,0.000000,0.000000
4.897397,-1.259555,-1.259555,0.000000,0.000000,0.000000
4.944945,-1.246806,-1.246806,0.000000,0.000000,0.000000
4.992492,-1.233913,-1.233913,0.000000,0.000000,0.000000
5.040040,-1.220875,-1.220875,0.000000,0.000000,0.000000
5.087588,-1.207693,-1.207693,0.000000,0.000000,0.000000
5.135135,-1.194366,-1.194366,0.000000,0.000000,0.000000
5.182683,-1.180892,-1.180892,0.000000,0.000000,0.000000
5.230230,-1.167271,-1.167271,0.000000,0.000000,0.000000
5.277778,-1.153503,-1.153503,0.000000,0.000000,0.000000
5.325325,-1.139587,-1.139587,0.000000,0.000000,0.000000
5.372873,-1.125521,-1.125521,0.000000,0.000000,0.000000
5.420420,-1.111306,-1.111306,0.000000,0.000000,0.000000
5.467968,-1.096941,-1.096941,0.000000,0.000000,0.000000
5.515516,-1.082425,-1.082425,0.000000,0.000000,0.000000
5.563063,-1.067756,-1.067756,0.000000,0.000000,0.000000
5.610611,-1.052935,-1.052935,0.000000,0.000000,0.000000
5.658158,-1.037961,-1.037961,0.000000,0.000000,0.000000
5.705706,-1.022833,-1.022833,0.000000,0.000000,0.000000
5.753253,-1.007550,-1.007550,0.000000,0.000000,0.000000
5.800801,-0.992111,-0.992111,0.000000,0.000000,0.000000
5.848348,-0.976515,-0.976515,0.000000,0.000000,0.000000
5.895896,-0.960763,-0.960763,0.000000,0.000000,0.000000
5.943443,-0.944852,-0.944852,0.000000,0.000000,0.000000
5.990991,-0.928782,-0.928782,0.000000,0.000000,0.000000
6.038539,-0.912553,-0.912553,0.000000,0.000000,0.000000
6.086086,-0.896163,-0.896163,0.000000,0.000000,0.000000
6.133634,-0.879612,-0.879612,0.000000,0.000000,0.000000
6.181181,-0.862898,-0.862898,0.000000,0.000000,0.000000
6.228729,-0.846021,-0.846021,0.000000,0.000000,0.000000
6.276276,-0.828980,-0.828980,0.000000,0.000000,0.000000
6.323824,-0.811774,-0.811774,0.000000,0.000000,0.000000
6.371371,-0.794402,-0.794402,0.000000,0.000000,0.000000
6.418919,-0.776863,-0.776863,0.000000,0.000000,0.000000
6.466466,-0.759156,-0.759156,0.000000,0.000000,0.000000
6.514014,-0.741281,-0.741281,0.000000,0.000000,0.000000
6.561562,-0.723236,-0.723236,0.000000,0.000000,0.000000
6.609109,-0.705020,-0.705020,0.000000,0.000000,0.000000
6.656657,-0.686632,-0.686632,0.000000,0.000000,0.000000
6.704204,-0.668072,-0.668072,0.000000,0.000000,0.000000
6.751752,-0.649338,-0.649338,0.000000,0.000000,0.000000
6.799299,-0.630430,-0.630430,0.000000,0.000000,0.000000
6.846847,-0.611346,-0.611346,0.000000,0.000000,0.000000
6.894394,-0.592084,-0.592084,0.000000,0.000000,0.000000
6.941942,-0.572646,-0.572646,0.000000,0.000000,0.000000
6.989489,-0.553028,-0.553028,0.000000,0.000000,0.000000
7.037037,-0.533230,-0.533230,0.000000,0.000000,0.000000
7.084585,-0.513251,-0.513251,0.000000,0.000000,0.000000
7.132132,-0.493090,-0.493090,0.000000,0.000000,0.000000
7.179680,-0.472745,-0.472745,0.000000,0.000000,0.000000
7.227227,-0.452216,-0.452216,0.000000,0.000000,0.000000
7.274775,-0.431501,-0.431501,0.000000,0.000000,0.000000
7.322322,-0.410599,-0.410599,0.000000,0.000000,0.000000
7.369870,-0.389510,-0.389510,0.000000,0.000000,0.000000
7.417417,-0.368231,-0.368231,0.000000,0.000000,0.000000
7.464965,-0.346761,-0.346761,0.000000,0.000000,0.000000
7.512513,-0.325100,-0.325100,0.000000,0.000000,0.000000
7.560060,-0.303246,-0.303246,0.000000,0.000000,0.000000
7.607608,-0.281198,-0.281198,0.000000,0.000000,0.000000
7.655155,-0.258954,-0.258954,0.000000,0.000000,0.000000
7.702703,-0.236513,-0.236513,0.000000,0.000000,0.000000
7.750250,-0.213875,-0.213875,0.000000,0.000000,0.000000
7.797798,-0.191036,-0.191036,0.000000,0.000000,0.000000
7.845345,-0.167998,-0.167998,0.000000,0.000000,0.000000
7.892893,-0.144756,-0.144756,0.000000,0.000000,0.000000
7.940440,-0.121312,-0.121312,0.000000,0.000000,0.000000
7.987988,-0.097662,-0.097662,0.000000,0.000000,0.000000
8.035536,-0.073807,-0.073807,0.000000,0.000000,0.000000
8.083083,-0.049743,-0.049743,0.000000,0.000000,0.000000
8.130631,-0.025470,-0.025470,0.000000,0.000000,0.000000
8.178178,-0.000987,-0.000987,0.000000,0.000000,0.000000
8.225726,0.023709,0.023709,0.000000,0.000000,0.000000
8.273273,0.048618,0.048618,0.000000,0.000000,0.000000
8.320821,0.073743,0.073743,0.000000,0.000000,0.000000
8.368368,0.099084,0.099084,0.000000,0.000000,0.000000
8.415916,0.124644,0.124644,0.000000,0.000000,0.000000
8.463463,0.150424,0.150424,0.000000,0.000000,0.000000
8.511011,0.176425,0.176425,0.000000,0.000000,0.000000
8.558559,0.202649,0.202649,0.000000,0.000000,0.000000
8.606106,0.229098,0.229098,0.000000,0.000000,0.000000
8.653654,0.255773,0.255773,0.000000,0.000000,0.000000
8.701201,0.282677,0.282677,0.000000,0.000000,0.000000
8.748749,0.309810,0.309810,0.000000,0.000000,0.000000
8.796296,0.337175,0.337175,0.000000,0.000000,0.000000
8.843844,0.364773,0.364773,0.000000,0.000000,0.000000
8.891391,0.392606,0.392606,0.000000,0.000000,0.000000
8.938939,0.420676,0.420676,0.000000,0.000000,0.000000
8.986486,0.448985,0.448985,0.000000,0.000000,0.000000
9.034034,0.477535,0.477535,0.000000,0.000000,0.000000
9.081582,0.506326,0.506326,0.000000,0.000000,0.000000
9.129129,0.535362,0.535362,0.000000,0.000000,0.000000
9.176677,0.564645,0.564645,0.000000,0.000000,0.000000
9.224224,0.594175,0.594175,0.000000,0.000000,0.000000
9.271772,0.623956,0.623956,0.000000,0.000000,0.000000
9.319319,0.653989,0.653989,0.000000,0.000000,0.000000
9.366867,0.684276,0.684276,0.000000,0.000000,0.000000
9.414414,0.714819,0.714819,0.000000,0.000000,0.000000
9.461962,0.745620,0.745620,0.000000,0.000000,0.000000
9.509510,0.776681,0.776681,0.000000,0.000000,0.000000
9.557057,0.808006,0.808006,0.000000,0.000000,0.000000
9.604605,0.839594,0.839594,0.000000,0.000000,0.000000
9.652152,0.871450,0.871450,0.000000,0.000000,0.000000
9.699700,0.903574,0.903574,0.000000,0.000000,0.000000
9.747247,0.935970,0.935970,0.000000,0.000000,0.000000
9.794795,0.968639,0.968639,0.000000,0.000000,0.000000
9.842342,1.001584,1.001584,0.000000,0.000000,0.000000
9.889890,1.034807,1.034807,0.000000,0.000000,0.000000
9.937437,1.068311,1.068311,0.000000,0.000000,0.000000
9.984985,1.102098,1.102098,0.000000,0.000000,0.000000
10.032533,1.136170,1.136170,0.000000,0.000000,0.000000
10.080080,1.170529,1.170529,0.000000,0.000000,0.000000
10.127628,1.205179,1.205179,0.000000,0.000000,0.000000
10.175175,1.240122,1.240122,0.000000,0.000000,0.000000
10.222723,1.275360,1.275360,0.000000,0.000000,0.000000
10.270270,1.310896,1.310896,0.000000,0.000000,0.000000
10.317818,1.346732,1.346732,0.000000,0.000000,0.000000
10.365365,1.382872,1.382872,0.000000,0.000000,0.000000
10.412913,1.419318,1.419318,0.000000,0.000000,0.000000
10.460460,1.456072,1.456072,0.000000,0.000000,0.000000
10.508008,1.493138,1.493138,0.000000,0.000000,0.000000
10.555556,1.530518,1.530518,0.000000,0.000000,0.000000
10.603103,1.568215,1.568215,0.000000,0.000000,0.000000
10.650651,1.606231,1.606231,0.000000,0.000000,0.000000
10.698198,1.644571,1.644571,0.000000,0.000000,0.000000
10.745746,1.683237,1.683237,0.000000,0.000000,0.000000
10.793293,1.722231,1.722231,0.000000,0.000000,0.000000
10.840841,1.761558,1.761558,0.000000,0.000000,0.000000
10.888388,1.801219,1.801219,0.000000,0.000000,0.000000
10.935936,1.841219,1.841219,0.000000,0.000000,0.000000
10.983483,1.881559,1.881559,0.000000,0.000000,0.000000
11.031031,1.922245,1.922245,0.000000,0.000000,0.000000
11.078579,1.963278,1.963278,0.000000,0.000000,0.000000
11.126126,2.004662,2.004662,0.000000,0.000000,0.000000
11.173674,2.046401,2.046401,0.000000,0.000000,0.000000
11.221221,2.088498,2.088498,0.000000,0.000000,0.000000
11.268769,2.130956,2.130956,0.000000,0.000000,0.000000
11.316316,2.173779,2.173779,0.000000,0.000000,0.000000
11.363864,2.216970,2.216970,0.000000,0.000000,0.000000
11.411411,2.260534,2.260534,0.000000,0.000000,0.000000
11.458959,2.304473,2.304473,0.000000,0.000000,0.000000
11.506507,2.348792,2.348792,0.000000,0.000000,0.000000
11.554054,2.393493,2.393493,0.000000,0.000000,0.000000
11.601602,2.438582,2.438582,0.000000,0.000000,0.000000
11.649149,2.484062,2.484062,0.000000,0.000000,0.000000
11.696697,2.529937,2.529937,0.000000,0.000000,0.000000
11.744244,2.576210,2.576210,0.000000,0.000000,0.000000
11.791792,2.622886,2.622886,0.000000,0.000000,0.000000
11.839339,2.669970,2.669970,0.000000,0.000000,0.000000
11.886887,2.717464,2.717464,0.000000,0.000000,0.000000
11.934434,2.765374,2.765374,0.000000,0.000000,0.000000
11.981982,2.813704,2.813704,0.000000,0.000000,0.000000
12.029530,2.862458,2.862458,0.000000,0.000000,0.000000
12.077077,2.911640,2.911640,0.000000,0.000000,0.000000
12.124625,2.961256,2.961256,0.000000,0.000000,0.000000
12.172172,3.011309,3.011309,0.000000,0.000000,0.000000
12.219720,3.061804,3.061804,0.000000,0.000000,0.000000
12.267267,3.112746,3.112746,0.000000,0.000000,0.000000
12.314815,3.164140,3.164140,0.000000,0.000000,0.000000
12.362362,3.215990,3.215990,0.000000,0.000000,0.000000
12.409910,3.268302,3.268302,0.000000,0.000000,0.000000
12.457457,3.321081,3.321081,0.000000,0.000000,0.000000
12.505005,3.374331,3.374331,0.000000,0.000000,0.000000
12.552553,3.428058,3.428058,0.000000,0.000000,0.000000
12.600100,3.482266,3.482266,0.000000,0.000000,0.000000
12.647648,3.536962,3.536962,0.000000,0.000000,0.000000
12.695195,3.592151,3.592151,0.000000,0.000000,0.000000
12.742743,3.647838,3.647838,0.000000,0.000000,0.000000
12.790290,3.704029,3.704029,0.000000,0.000000,0.000000
12.837838,3.760729,3.760729,0.000000,0.000000,0.000000
12.885385,3.817945,3.817945,0.000000,0.000000,0.000000
12.932933,3.875681,3.875681,0.000000,0.000000,0.000000
12.980480,3.933944,3.933944,0.000000,0.000000,0.000000
13.028028,3.992741,3.992741,0.000000,0.000000,0.000000
13.075576,4.052077,4.052077,0.000000,0.000000,0.000000
13.123123,4.111958,4.111958,0.000000,0.000000,0.000000
13.170671,4.172390,4.172390,0.000000,0.000000,0.000000
13.218218,4.233381,4.233381,0.000000,0.000000,0.000000
13.265766,4.294937,4.294937,0.000000,0.000000,0.000000
13.313313,4.357064,4.357064,0.000000,0.000000,0.000000
13.360861,4.419769,4.419769,0.000000,0.000000,0.000000
13.408408,4.483060,4.483060,0.000000,0.000000,0.000000
13.455956,4.546942,4.546942,0.000000,0.000000,0.000000
13.503504,4.611423,4.611423,0.000000,0.000000,0.000000
13.551051,4.676511,4.676511,0.000000,0.000000,0.000000
13.598599,4.742212,4.742212,0.000000,0.000000,0.000000
13.646146,4.808535,4.808535,0.000000,0.000000,0.000000
13.693694,4.875486,4.875486,0.000000,0.000000,0.000000
13.741241,4.943074,4.943074,0.000000,0.000000,0.000000
13.788789,5.011306,5.011306,0.000000,0.000000,0.000000
13.836336,5.080190,5.080190,0.000000,0.000000,0.000000
13.883884,5.149735,5.149735,0.000000,0.000000,0.000000
13.931431,5.219949,5.219949,0.000000,0.000000,0.000000
13.978979,5.290840,5.290840,0.000000,0.000000,0.000000
14.026527,5.362416,5.362416,0.000000,0.000000,0.000000
14.074074,5.434687,5.434687,0.000000,0.000000,0.000000
14.121622,5.507662,5.507662,0.000000,0.000000,0.000000
14.169169,5.581348,5.581348,0.000000,0.000000,0.000000
14.216717,5.655757,5.655757,0.000000,0.000000,0.000000
14.264264,5.730896,5.730896,0.000000,0.000000,0.000000
14.311812,5.806776,5.806776,0.000000,0.000000,0.000000
14.359359,5.883405,5.883405,0.000000,0.000000,0.000000
14.406907,5.960795,5.960795,0.000000,0.000000,0.000000
14.454454,6.038955,6.038955,0.000000,0.000000,0.000000
14.502002,6.117895,6.117895,0.000000,0.000000,0.000000
14.549550,6.197626,6.197626,0.000000,0.000000,0.000000
14.597097,6.278158,6.278158,0.000000,0.000000,0.000000
14.644645,6.359502,6.359502,0.000000,0.000000,0.000000
14.692192,6.441669,6.441669,0.000000,0.000000,0.000000
14.739740,6.524670,6.524670,0.000000,0.000000,0.000000
14.787287,6.608518,6.608518,0.000000,0.000000,0.000000
14.834835,6.693222,6.693222,0.000000,0.000000,0.000000
14.882382,6.778796,6.778796,0.000000,0.000000,0.000000
14.929930,6.865251,6.865251,0.000000,0.000000,0.000000
14.977477,6.952600,6.952600,0.000000,0.000000,0.000000
15.025025,7.040854,7.040854,0.000000,0.000000,0.000000
15.072573,7.130028,7.130028,0.000000,0.000000,0.000000
15.120120,7.220134,7.220134,0.000000,0.000000,0.000000
15.167668,7.311185,7.311185,0.000000,0.000000,0.000000
15.215215,7.403195,7.403195,0.000000,0.000000,0.000000
15.262763,7.496177,7.496177,0.000000,0.000000,0.000000
15.310310,7.590146,7.590146,0.000000,0.000000,0.000000
15.357858,7.685117,7.685117,0.000000,0.000000,0.000000
15.405405,7.781103,7.781103,0.000000,0.000000,0.000000
15.452953,7.878119,7.878119,0.000000,0.000000,0.000000
15.500501,7.976182,7.976182,0.000000,0.000000,0.000000
15.548048,8.075306,8.075306,0.000000,0.000000,0.000000
15.595596,8.175507,8.175507,0.000000,0.000000,0.000000
15.643143,8.276802,8.276802,0.000000,0.000000,0.000000
15.690691,8.379207,8.379207,0.000000,0.000000,0.000000
15.738238,8.482739,8.482739,0.000000,0.000000,0.000000
15.785786,8.587415,8.587415,0.000000,0.000000,0.000000
15.833333,8.693253,8.693253,0.000000,0.000000,0.000000
15.880881,8.800270,8.800270,0.000000,0.000000,0.000000
15.928428,8.908486,8.908486,0.000000,0.000000,0.000000
15.975976,9.017918,9.017918,0.000000,0.000000,0.000000
16.023524,9.128585,9.128585,0.000000,0.000000,0.000000
16.071071,9.240509,9.240509,0.000000,0.000000,0.000000
16.118619,9.353707,9.353707,0.000000,0.000000,0.000000
16.166166,9.468201,9.468201,0.000000,0.000000,0.000000
16.213714,9.568688,9.584011,1.002004,0.000000,-0.015323
16.261261,9.614033,9.701159,1.002004,0.000000,-0.087126
