f,avg_r,avg_n
0.000000,0.278426,0.000000
0.005005,0.328705,0.000000
0.010010,0.348179,0.000000
0.015015,0.382892,0.000000
0.020020,0.403148,0.000000
0.025025,0.432761,0.000000
0.030030,0.453684,0.000000
0.035035,0.477441,0.000000
0.040040,0.497662,0.000000
0.045045,0.521890,0.000000
0.050050,0.542392,0.000000
0.055055,0.564452,0.000000
0.060060,0.582255,0.000000
0.065065,0.603891,0.000000
0.070070,0.621994,0.000000
0.075075,0.639663,0.000000
0.080080,0.657345,0.000000
0.085085,0.678043,0.000000
0.090090,0.694130,0.000000
0.095095,0.711973,0.000000
0.100100,0.730333,0.000000
0.105105,0.746651,0.000000
0.110110,0.762345,0.000000
0.115115,0.777770,0.000000
0.120120,0.794656,0.000000
0.125125,0.808762,0.000000
0.130130,0.826351,0.000000
0.135135,0.839578,0.000000
0.140140,0.855692,0.000000
0.145145,0.870694,0.000000
0.150150,0.883244,0.000000
0.155155,0.899699,0.000000
0.160160,0.910871,0.000000
0.165165,0.924278,0.000000
0.170170,0.939345,0.000000
0.175175,0.952439,0.000000
0.180180,0.965610,0.000000
0.185185,0.978048,0.000000
0.190190,0.991296,0.000000
0.195195,1.003619,0.000000
0.200200,1.012808,0.000000
0.205205,1.026689,0.000000
0.210210,1.038443,0.000000
0.215215,1.049723,0.000000
0.220220,1.063249,0.000000
0.225225,1.071209,0.000000
0.230230,1.082619,0.000000
0.235235,1.094672,0.000000
0.240240,1.101997,0.000000
0.245245,1.113634,0.000000
0.250250,1.125705,0.000000
0.255255,1.134839,0.000000
0.260260,1.145433,0.000000
0.265265,1.154678,0.000000
0.270270,1.165733,0.000000
0.275275,1.176252,0.000000
0.280280,1.184328,0.000000
0.285285,1.194065,0.000000
0.290290,1.205380,0.000000
0.295295,1.211970,0.000000
0.300300,1.220875,0.000000
0.305305,1.228660,0.000000
0.310310,1.238501,0.000000
0.315315,1.245179,0.000000
0.320320,1.254920,0.000000
0.325325,1.263929,0.000000
0.330330,1.271323,0.000000
0.335335,1.280963,0.000000
0.340340,1.289548,0.000000
0.345345,1.296587,0.000000
0.350350,1.304597,0.000000
0.355355,1.311871,0.000000
0.360360,1.320383,0.000000
0.365365,1.326279,0.000000
0.370370,1.336500,0.000000
0.375375,1.343191,0.000000
0.380380,1.350832,0.000000
0.385385,1.355687,0.000000
0.390390,1.365358,0.000000
0.395395,1.370613,0.000000
0.400400,1.378528,0.000000
0.405405,1.384394,0.000000
0.410410,1.394419,0.000000
0.415415,1.399374,0.000000
0.420420,1.405720,0.000000
0.425425,1.410555,0.000000
0.430430,1.419279,0.000000
0.435435,1.424986,0.000000
0.440440,1.432347,0.000000
0.445445,1.436726,0.000000
0.450450,1.444748,0.000000
0.455455,1.451430,0.000000
0.460460,1.458014,0.000000
0.465465,1.463296,0.000000
0.470470,1.467601,0.000000
0.475475,1.474593,0.000000
0.480480,1.482119,0.000000
0.485485,1.486647,0.000000
0.490490,1.492689,0.000000
0.495495,1.498601,0.000000
0.500501,1.501714,0.000000
0.505506,1.510697,0.000000
0.510511,1.515005,0.000000
0.515516,1.520696,0.000000
0.520521,1.527613,0.000000
0.525526,1.530134,0.000000
0.530531,1.537118,0.000000
0.535536,1.542077,0.000000
0.540541,1.548349,0.000000
0.545546,1.553228,0.000000
0.550551,1.558522,0.000000
0.555556,1.561691,0.000000
0.560561,1.567130,0.000000
0.565566,1.574359,0.000000
0.570571,1.577864,0.000000
0.575576,1.584963,0.000000
0.580581,1.587673,0.000000
0.585586,1.592109,0.000000
0.590591,1.597868,0.000000
0.595596,1.601979,0.000000
0.600601,1.607841,0.000000
0.605606,1.612798,0.000000
0.610611,1.616385,0.000000
0.615616,1.620943,0.000000
0.620621,1.623076,0.000000
0.625626,1.628820,0.000000
0.630631,1.635567,0.000000
0.635636,1.640985,0.000000
0.640641,1.642447,0.000000
0.645646,1.645578,0.000000
0.650651,1.649536,0.000000
0.655656,1.655171,0.000000
0.660661,1.658777,0.000000
0.665666,1.666134,0.000000
0.670671,1.668779,0.000000
0.675676,1.672022,0.000000
0.680681,1.676672,0.000000
0.685686,1.680041,0.000000
0.690691,1.684815,0.000000
0.695696,1.690446,0.000000
0.700701,1.694766,0.000000
0.705706,1.697450,0.000000
0.710711,1.698944,0.000000
0.715716,1.704422,0.000000
0.720721,1.708261,0.000000
0.725726,1.711929,0.000000
0.730731,1.717368,0.000000
0.735736,1.722441,0.000000
0.740741,1.723834,0.000000
0.745746,1.727150,0.000000
0.750751,1.730385,0.000000
0.755756,1.734855,0.000000
0.760761,1.737255,0.000000
0.765766,1.741418,0.000000
0.770771,1.747558,0.000000
0.775776,1.750730,0.000000
0.780781,1.752675,0.000000
0.785786,1.754253,0.000000
0.790791,1.758975,0.000000
0.795796,1.762906,0.000000
0.800801,1.766459,0.000000
0.805806,1.771419,0.000000
0.810811,1.776524,0.000000
0.815816,1.777982,0.000000
0.820821,1.780997,0.000000
0.825826,1.782261,0.000000
0.830831,1.785848,0.000000
0.835836,1.788075,0.000000
0.840841,1.792745,0.000000
0.845846,1.795444,0.000000
0.850851,1.803036,0.000000
0.855856,1.805308,0.000000
0.860861,1.806396,0.000000
0.865866,1.809012,0.000000
0.870871,1.811220,0.000000
0.875876,1.814436,0.000000
0.880881,1.817242,0.000000
0.885886,1.822783,0.000000
0.890891,1.824776,0.000000
0.895896,1.831851,0.000000
0.900901,1.833416,0.000000
0.905906,1.835439,0.000000
0.910911,1.836657,0.000000
0.915916,1.838760,0.000000
0.920921,1.842622,0.000000
0.925926,1.843429,0.000000
0.930931,1.848161,0.000202
0.935936,1.851838,0.000303
0.940941,1.861398,0.000606
0.945946,1.865133,0.000707
0.950951,1.868025,0.000808
0.955956,1.870187,0.000808
0.960961,1.871403,0.000909
0.965966,1.873312,0.001010
0.970971,1.877200,0.001010
0.975976,1.877995,0.001010
0.980981,1.881216,0.001010
0.985986,1.884185,0.001010
0.990991,1.889814,0.001010
0.995996,1.894224,0.001010
1.001001,1.895737,0.001010
1.006006,1.897995,0.001010
1.011011,1.900060,0.001010
1.016016,1.902573,0.001111
1.021021,1.905390,0.001111
1.026026,1.908311,0.001212
1.031031,1.911039,0.001313
1.036036,1.913153,0.001313
1.041041,1.917784,0.001414
1.046046,1.920936,0.001414
1.051051,1.923265,0.001414
1.056056,1.926495,0.001515
1.061061,1.930079,0.001616
1.066066,1.933568,0.001717
1.071071,1.934521,0.001717
1.076076,1.936830,0.001717
1.081081,1.940318,0.001818
1.086086,1.942883,0.001818
1.091091,1.945600,0.001818
1.096096,1.947542,0.001919
1.101101,1.954046,0.001919
1.106106,1.954995,0.001919
1.111111,1.958665,0.002020
1.116116,1.959448,0.002020
1.121121,1.960629,0.002020
1.126126,1.962614,0.002020
1.131131,1.965217,0.002121
1.136136,1.967017,0.002222
1.141141,1.970969,0.002222
1.146146,1.973236,0.002222
1.151151,1.975549,0.002222
1.156156,1.978705,0.002222
1.161161,1.983891,0.002222
1.166166,1.985816,0.002222
1.171171,1.988589,0.002222
1.176176,1.990391,0.002222
1.181181,1.990391,0.002222
1.186186,1.992481,0.002323
1.191191,1.994919,0.002424
1.196196,1.996934,0.002424
1.201201,1.999843,0.002424
1.206206,2.002118,0.002424
1.211211,2.005136,0.002424
1.216216,2.006865,0.002424
1.221221,2.009595,0.002424
1.226226,2.012997,0.002424
1.231231,2.016261,0.002525
1.236236,2.017357,0.002525
1.241241,2.019975,0.002525
1.246246,2.021931,0.002626
1.251251,2.023418,0.002626
1.256256,2.024661,0.002626
1.261261,2.025599,0.002626
1.266266,2.027369,0.002626
1.271271,2.030318,0.002626
1.276276,2.032450,0.002626
1.281281,2.035860,0.002626
1.286286,2.037486,0.002626
1.291291,2.040807,0.002626
1.296296,2.043878,0.002626
1.301301,2.045688,0.002626
1.306306,2.047250,0.002626
1.311311,2.050271,0.002727
1.316316,2.051962,0.002727
1.321321,2.052476,0.002727
1.326326,2.053566,0.002727
1.331331,2.054805,0.002727
1.336336,2.056148,0.002727
1.341341,2.057410,0.002727
1.346346,2.060627,0.002727
1.351351,2.063918,0.002828
1.356356,2.067474,0.002828
1.361361,2.069134,0.002828
1.366366,2.073581,0.002828
1.371371,2.075225,0.002828
1.376376,2.075868,0.002828
1.381381,2.078560,0.002828
1.386386,2.079503,0.002828
1.391391,2.082027,0.002828
1.396396,2.083667,0.002828
1.401401,2.084327,0.002828
1.406406,2.086830,0.002929
1.411411,2.088727,0.003030
1.416416,2.090017,0.003030
1.421421,2.092486,0.003030
1.426426,2.097644,0.003333
1.431431,2.099000,0.003333
1.436436,2.103584,0.003535
1.441441,2.109742,0.003636
1.446446,2.114801,0.003737
1.451451,2.115773,0.003737
1.456456,2.116879,0.003737
1.461461,2.120824,0.003939
1.466466,2.123951,0.004040
1.471471,2.125377,0.004040
1.476476,2.127794,0.004040
1.481481,2.127929,0.004040
1.486486,2.129043,0.004040
1.491491,2.132739,0.004141
1.496496,2.134730,0.004242
1.501502,2.137440,0.004343
1.506507,2.144266,0.004646
1.511512,2.145463,0.004646
1.516517,2.150096,0.004747
1.521522,2.151148,0.004747
1.526527,2.155409,0.004848
1.531532,2.159137,0.004848
1.536537,2.160654,0.004848
1.541542,2.162964,0.004949
1.546547,2.164418,0.004949
1.551552,2.167602,0.005051
1.556557,2.171119,0.005152
1.561562,2.174558,0.005253
1.566567,2.177836,0.005354
1.571572,2.183047,0.005556
1.576577,2.183552,0.005556
1.581582,2.185393,0.005556
1.586587,2.188486,0.005657
1.591592,2.195180,0.005960
1.596597,2.201825,0.006162
1.601602,2.202694,0.006162
1.606607,2.208648,0.006364
1.611612,2.212900,0.006465
1.616617,2.219251,0.006667
1.621622,2.228759,0.006970
1.626627,2.237594,0.007273
1.631632,2.240913,0.007374
1.636637,2.250556,0.007778
1.641642,2.263948,0.008283
1.646647,2.267956,0.008384
1.651652,2.272461,0.008485
1.656657,2.288662,0.009192
1.661662,2.310659,0.010202
1.666667,2.322105,0.010606
1.671672,2.323325,0.010606
1.676677,2.326827,0.010909
1.681682,2.329629,0.011111
1.686687,2.334675,0.011414
1.691692,2.336433,0.011515
1.696697,2.340062,0.011616
1.701702,2.342457,0.011717
1.706707,2.348913,0.011818
1.711712,2.349352,0.011818
1.716717,2.351256,0.012020
1.721722,2.354476,0.012121
1.726727,2.355272,0.012121
1.731732,2.357503,0.012323
1.736737,2.359030,0.012424
1.741742,2.362037,0.012424
1.746747,6.492793,0.160909
1.751752,8.268736,0.230303
1.756757,10.424009,0.319394
1.761762,11.780346,0.378788
1.766767,12.852510,0.428283
1.771772,13.854124,0.477879
1.776777,14.629257,0.517475
1.781782,14.984057,0.537374
1.786787,16.173819,0.606667
1.791792,16.641768,0.636364
1.796797,17.550165,0.695758
1.801802,17.985438,0.725455
1.806807,18.138150,0.735253
1.811812,18.268071,0.745051
1.816817,18.291589,0.745051
1.821822,18.413125,0.754848
1.826827,18.647124,0.774444
1.831832,18.852768,0.794040
1.836837,19.063809,0.813636
1.841842,19.341249,0.843030
1.846847,19.702454,0.882222
1.851852,19.711900,0.882222
1.856857,19.735191,0.882222
1.861862,19.955584,0.911616
1.866867,20.046626,0.921414
1.871872,20.182191,0.941010
1.876877,20.265657,0.950808
1.881882,20.384957,0.970404
1.886887,20.461573,0.980202
1.891892,20.470002,0.980202
1.896897,20.495529,0.980202
1.901902,20.503616,0.980202
1.906907,20.529248,0.980202
1.911912,20.536810,0.980202
1.916917,20.601421,0.990101
1.921922,20.606867,0.990101
1.926927,20.635046,0.990101
1.931932,20.640066,0.990101
1.936937,20.668559,0.990101
1.941942,20.672298,0.990101
1.946947,20.693315,0.990101
1.951952,20.704807,0.990101
1.956957,20.718544,0.990101
1.961962,20.768115,1.000000
1.966967,20.778031,1.000000
1.971972,20.801606,1.000000
1.976977,20.809934,1.000000
1.981982,20.834752,1.000000
1.986987,20.841121,1.000000
1.991992,20.868425,1.000000
1.996997,20.873326,1.000000
2.002002,20.895604,1.000000
2.007007,20.904577,1.000000
2.012012,20.917982,1.000000
2.017017,20.937715,1.000000
2.022022,20.946754,1.000000
2.027027,20.970961,1.000000
2.032032,20.977408,1.000000
2.037037,21.004477,1.000000
2.042042,21.008704,1.000000
2.047047,21.029318,1.000000
2.052052,21.040222,1.000000
2.057057,21.050426,1.000000
2.062062,21.073456,1.000000
2.067067,21.081271,1.000000
2.072072,21.106734,1.000000
2.077077,21.111534,1.000000
2.082082,21.132012,1.000000
2.087087,21.142479,1.000000
2.092092,21.152683,1.000000
2.097097,21.175304,1.000000
2.102102,21.181861,1.000000
2.107107,21.208615,1.000000
2.112112,21.211540,1.000000
2.117117,21.226624,1.000000
2.122122,21.243879,1.000000
2.127127,21.252303,1.000000
2.132132,21.277006,1.000000
2.137137,21.281858,1.000000
2.142142,21.302763,1.000000
2.147147,21.312602,1.000000
2.152152,21.321930,1.000000
2.157157,21.345178,1.000000
2.162162,21.350563,1.000000
2.167167,21.378735,1.000000
2.172172,21.380640,1.000000
2.177177,21.390290,1.000000
2.182182,21.413276,1.000000
2.187187,21.418735,1.000000
2.192192,21.446906,1.000000
2.197197,21.448543,1.000000
2.202202,21.457353,1.000000
2.207207,21.481337,1.000000
2.212212,21.486142,1.000000
2.217217,21.506181,1.000000
2.222222,21.516225,1.000000
2.227227,21.524038,1.000000
2.232232,21.549233,1.000000
2.237237,21.551474,1.000000
2.242242,21.565494,1.000000
2.247247,21.583649,1.000000
2.252252,21.589464,1.000000
2.257257,21.617279,1.000000
2.262262,21.618677,1.000000
2.267267,21.627897,1.000000
2.272272,21.651490,1.000000
2.277277,21.654608,1.000000
2.282282,21.671177,1.000000
2.287287,21.685796,1.000000
2.292292,21.691977,1.000000
2.297297,21.719536,1.000000
2.302302,21.720803,1.000000
2.307307,21.729194,1.000000
2.312312,21.753622,1.000000
2.317317,21.755624,1.000000
2.322322,21.769423,1.000000
2.327327,21.788053,1.000000
2.332332,21.792433,1.000000
2.337337,21.815225,1.000000
2.342342,21.822139,1.000000
2.347347,21.828980,1.000000
2.352352,21.855392,1.000000
2.357357,21.856623,1.000000
2.362362,21.865109,1.000000
2.367367,21.889909,1.000000
2.372372,21.891122,1.000000
2.377377,21.901562,1.000000
2.382382,21.923995,1.000000
2.387387,21.926028,1.000000
2.392392,21.939680,1.000000
2.397397,21.958301,1.000000
2.402402,21.962096,1.000000
2.407407,21.980956,1.000000
2.412412,21.992386,1.000000
2.417417,21.997059,1.000000
2.422422,22.021240,1.000000
2.427427,22.026472,1.000000
2.432432,22.031790,1.000000
2.437437,22.059630,1.000000
2.442442,22.060558,1.000000
2.447447,22.066131,1.000000
2.452452,22.093715,1.000000
2.457457,22.094644,1.000000
2.462462,22.100847,1.000000
2.467467,22.127801,1.000000
2.472472,22.128967,1.000000
2.477477,22.134933,1.000000
2.482482,22.161887,1.000000
2.487487,22.162742,1.000000
2.492492,22.169019,1.000000
2.497497,22.195973,1.000000
2.502503,22.196828,1.000000
2.507508,22.202019,1.000000
2.512513,22.229760,1.000000
2.517518,22.230913,1.000000
2.522523,22.235663,1.000000
2.527528,22.263846,1.000000
